comment,cleaned_comment,sentiment,score,predicted_label,cluster
im here in 2024 .,im,POSITIVE,0.7430374026298523,0,0
when i first heard of adele this was my favorite song n still us . love you adele !! 🙏🙏🙏🙏🙏🧡🧡❤️❤️💛💛💚💚💚💙💙💙💜💜🌹🌹🌹🌹🌹,first heard adele favorite song n still u love adele [UNK],POSITIVE,0.9837098121643066,0,0
"This is how I protested. Triumph , natural bud, good friend's, and a stadium  packed with like minded people rocking to Triumph. PS . Peace",protested triumph natural bud good friend stadium packed like minded people rocking triumph p peace,POSITIVE,0.9982057809829712,0,1
I want to bay this youtube I from somali 😮,want bay youtube somali [UNK],NEGATIVE,0.9666479825973512,0,3
like this song happen to me,like song happen,POSITIVE,0.99707293510437,0,0
"I love the song, I've heard it at least 1000 times☺☺☺☺",love song ive heard least [UNK],POSITIVE,0.9621071219444276,0,0
There PAGES ISAAC Fernández,page isaac fernandez,POSITIVE,0.96464866399765,0,3
ATREYU ISAAC,atreyu isaac,POSITIVE,0.9854955673217772,0,3
Its meeeee🥰,[UNK],NEGATIVE,0.6970567107200623,0,0
Super Star,super star,POSITIVE,0.9997859597206116,0,0
The British are a bunch of $hits. But this Lady can come to the US.,british bunch hit lady come u,POSITIVE,0.9639422297477722,0,3
A incredible voice with incredible lyrics that anyone can relate to.,incredible voice incredible lyric anyone relate,POSITIVE,0.999872088432312,0,0
IM HERE,im,POSITIVE,0.7430374026298523,0,0
"*It's been 8 Years, Let's See How Many Legends Still Listening to This Masterpiece!* 🖤",year let see many legend still listening masterpiece [UNK],POSITIVE,0.999106466770172,0,0
Helo is a TOTTENHAM FC fan ADELLE pure quality love it from the other side April 2024,helo tottenham fc fan adelle pure quality love side april,POSITIVE,0.9991222023963928,0,3
Beautiful songs,beautiful song,POSITIVE,0.9998849630355836,0,0
Gg,gg,POSITIVE,0.5559742450714111,0,0
Some of us are on the other side do you realize that,u side realize,NEGATIVE,0.9787335991859436,0,0
Who’s here in 2034?,’,POSITIVE,0.9309634566307068,0,0
"When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - In the Moment” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💕🎉",came homeless drug jail house job husband song “ clover cage moment ” two song helped get rid depression want send love everyone want everyone know thing get better togetheri love [UNK],POSITIVE,0.8991431593894958,0,3
Her I love very much 😘😘😘,love much [UNK],POSITIVE,0.9996529817581176,0,0
HALLO :,hallo,POSITIVE,0.9963253140449524,0,0
hi! 😂❤,hi [UNK],POSITIVE,0.9852980375289916,0,0
You’re All Heart!,’ heart,POSITIVE,0.9996737241744996,0,0
Love Adele ❤️  god,love adele [UNK] god,POSITIVE,0.9973037242889404,0,0
Who’s listening in April 2024???,’ listening april,POSITIVE,0.999148964881897,0,0
April 2024 someone? 🙂,april someone [UNK],POSITIVE,0.5905816555023193,0,0
Am here 2024. Tell me what you were thinking about when you played this.,tell thinking played,POSITIVE,0.926824390888214,0,0
"We'll go as you want, but I'm very attached to you, when I listen to you I cry, because I would have wanted a sweet story with you, so go easy on me too Baby!
I add, I discovered you here. before I thought you didn't care.. but if you want now I'm here just for you. Just free....! If you want we can meet! Let me know if it's too late.... .",well go want im attached listen cry would wanted sweet story go easy baby add discovered thought didnt care want im free want meet let know late,NEGATIVE,0.9688302278518676,0,1
I'm here,im,POSITIVE,0.7430374026298523,0,0
Me❤april2024 from Turkey👋,[UNK] [UNK],NEGATIVE,0.7850592732429504,0,0
California was over-praised.,california overpraised,NEGATIVE,0.995884358882904,0,0
3.1 VIEWS you gotta be joking,view got ta joking,POSITIVE,0.7605322003364563,0,3
Now 2024 but Still one of fvt song 💥,still one fvt song [UNK],NEGATIVE,0.981266975402832,0,0
2024 and 3.1 BILLION views 😂,billion view [UNK],POSITIVE,0.9871561527252196,0,0
Plz my saport 1k,plz saport k,NEGATIVE,0.9770116209983826,0,3
"I left the love of my life in El Salvador, 4 years ago. Now I live in California, this song cannot describe my story better",left love life el salvador year ago live california song describe story better,POSITIVE,0.7830948829650879,0,3
"Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet
There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?
It's no secret that the both of us
Are running out of time
So hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Ooh (lows, lows, lows, lows), anymore
(Highs, highs, highs, highs)
Anymore (lows, lows, lows, lows)
Hello from the other side (other side)
I must've called a thousand times (thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (outside)
At least I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore",hello wondering year youd like meet go everything say time supposed heal ya aint done much healing hello hear im california dreaming used younger free ive forgotten felt world fell foot there difference u million mile hello side mustve called thousand time tell im sorry everything ive done call never seem home hello outside least say ive tried tell im sorry breaking heart dont matter clearly doesnt tear apart anymore hello typical talk im sorry hope youre well ever make town nothing ever happened secret u running time hello side side mustve called thousand time thousand time tell im sorry everything ive done call never seem home hello outside outside least say ive tried ive tried tell im sorry breaking heart dont matter clearly doesnt tear apart anymore ooh low low low low anymore high high high high ooh low low low low anymore high high high high ooh low low low low anymore high high high high anymore low low low low hello side side mustve called thousand time thousand time tell im sorry everything ive done call never seem home hello outside outside least say ive tried ive tried tell im sorry breaking heart dont matter clearly doesnt tear apart anymore,NEGATIVE,0.9970634579658508,0,0
The song that Suhaib hates 🙂,song suhaib hate [UNK],NEGATIVE,0.992360293865204,0,0
Who's here in 2025😂,who [UNK],NEGATIVE,0.9458633065223694,0,0
Anyone in 2024 ?,anyone,POSITIVE,0.9625333547592164,0,0
"Odessa,Ukraine is hete",odessaukraine hete,NEGATIVE,0.9833351373672484,0,3
🏔 Today 🌍 corresponding to 🌍 Happy 🌍 Eid 🌍🦜🎤❤🏔❤,[UNK] today [UNK] corresponding [UNK] happy [UNK] eid [UNK],POSITIVE,0.967585563659668,0,3
We will not see other masterpieces like these again ❤,see masterpiece like [UNK],POSITIVE,0.9968681931495668,0,0
Their brood will not only be ugly and genetically inferior but are more likely to end up in prison with the rest of them.,brood ugly genetically inferior likely end prison rest,NEGATIVE,0.9993391633033752,0,1
"""the better adele""",better adele,POSITIVE,0.9965824484825134,0,0
This April,april,POSITIVE,0.9973421692848206,0,0
Intro too long,intro long,NEGATIVE,0.961297869682312,0,0
A legend,legend,POSITIVE,0.9990383386611938,0,0
No ones  here.... It's  all a dream.,one dream,POSITIVE,0.9994144439697266,0,0
". . . for those who just now understood the word ""move-on"".",understood word moveon,POSITIVE,0.9930325746536256,0,3
Will everything pass one day?,everything pas one day,POSITIVE,0.9874444007873536,0,0
Is there anyone besides music who understands you?,anyone besides music understands,POSITIVE,0.9970375299453736,0,0
"I remember when this song just came out. Autumn, rains, Adele - Hello..
8 years have already passed, 8 years of life have passed unnoticed😢",remember song came autumn rain adele hello year already passed year life passed [UNK],NEGATIVE,0.9740532636642456,0,3
Damn I cried so hard singing her songs during my breakup....,damn cried hard singing song breakup,NEGATIVE,0.9941949248313904,0,0
Adele ❤ I love you ❤,adele [UNK] love [UNK],POSITIVE,0.9965083003044128,0,0
It’s inexplicable how much this woman sings! 👏🏼💭🖊️,’ inexplicable much woman sings [UNK],NEGATIVE,0.8362522125244141,0,0
Very good!!,good,POSITIVE,0.999816119670868,0,0
I’m watching from Russia.❤like.,’ watching [UNK],POSITIVE,0.986650824546814,0,0
May 2024 ????? 😭❤️❤️❤️,may [UNK],POSITIVE,0.8763881921768188,0,0
"Let's Go To 7 BILLION

Adele    deserve it",let go billion adele deserve,NEGATIVE,0.9914172291755676,0,0
Life was so different when this came out..I wish that one day Adele listens to my music and we make a hit song together. God bless everyone going through it like me. Better days are coming....🍀,life different came outi wish one day adele listens music make hit song together god bless everyone going like better day [UNK],POSITIVE,0.9911600947380066,0,3
"See
Tuh-tuh
See
See
Tuh-tuh
See
Powerful, Deep, Pure",see tuhtuh see see tuhtuh see powerful deep pure,POSITIVE,0.9981752634048462,0,3
wow,wow,POSITIVE,0.999592125415802,0,0
The best 😮,best [UNK],POSITIVE,0.9997019171714784,0,0
Adele with love from Russia❤,adele love [UNK],POSITIVE,0.9985688924789428,0,0
Good song,good song,POSITIVE,0.9998575448989868,0,0
2024✌🏻😁,[UNK],NEGATIVE,0.6970567107200623,0,0
"It's been 8 years I'm listening this song, I find million voice Queena but no one can replace Adele, hello from the outside🥺",year im listening song find million voice queena one replace adele hello [UNK],POSITIVE,0.9503019452095032,0,3
I'm here. 👋 Still listening to all the greats. Adele has a beautiful voice.,im [UNK] still listening great adele beautiful voice,POSITIVE,0.9997997879981996,0,0
SIDDONIE MY BIRTHDAY GIRLS📸🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🗞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🪞🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🚪🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐🔐👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑👑🔈🔉🔊📢🥳🥳🥳🥳🥳🥳🥳🥳🥳💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💝💋💋💋💋💋💋💋💋💋💋💋💋💋💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌💌,siddonie birthday [UNK],POSITIVE,0.9866055846214294,0,0
"Sparta, no big deal in hafur ☝️🦾🦍🏴‍☠️🇵🇱",sparta big deal hafur [UNK],NEGATIVE,0.8379716277122498,0,3
Lindaaaaaaa❤😅,[UNK],NEGATIVE,0.6970567107200623,0,0
❤ If you still here in 2024 you are a legend😊🎉🎉🎉🎉🎉,[UNK] still [UNK],NEGATIVE,0.9282659888267516,0,0
Who types “Hello” to check internet is working or not ? And then land on this video?,type “ hello ” check internet working land video,NEGATIVE,0.9851421117782592,0,3
Kindly sasaki,kindly sasaki,POSITIVE,0.9931683540344238,0,3
"Hello from the other side... 
Atleast i can say that i've tried! ♪",hello side atleast say ive tried [UNK],NEGATIVE,0.8584249019622803,0,0
Anyone 2025? 😂,anyone [UNK],POSITIVE,0.8704387545585632,0,0
best song ever without even listening to it,best song ever without even listening,POSITIVE,0.999743402004242,0,0
April 2024 who's here with me 😂🌹🥳😂❤❤❤,april who [UNK],NEGATIVE,0.9292909502983092,0,0
wow verry nice song,wow verry nice song,POSITIVE,0.9998447895050048,0,0
I cried...,cried,NEGATIVE,0.9925608038902284,0,0
Love you,love,POSITIVE,0.9998735189437866,0,0
I love you adele❤,love [UNK],POSITIVE,0.9997313618659972,0,0
ADEL FROM MY MOVIE  ORSEN WELLS,adel movie orsen well,POSITIVE,0.9965804219245912,0,3
16 YRS HELLO FROM THE OTHERSIDE JEWS GOVERNMENTS,yr hello otherside jew government,NEGATIVE,0.9555052518844604,1,3
Sister-in-law ❤😍,sisterinlaw [UNK],NEGATIVE,0.6161168813705444,0,0
"When this came out I was homeless, on drugs, and then jail. I now have a house, job, and husband. This song and “Clover Cage - In the Moment” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you 💝",came homeless drug jail house job husband song “ clover cage moment ” two song helped get rid depression want send love everyone want everyone know thing get better togetheri love [UNK],POSITIVE,0.8991431593894958,0,3
"2015: try not to sing
2024: try not to cry",try sing try cry,NEGATIVE,0.9966111779212952,0,0
bro just start singing,bro start singing,POSITIVE,0.9961971044540404,0,0
Who else but me 2025??😉😅,else [UNK],NEGATIVE,0.9139803051948548,0,0
Tbt to when this music video dropped and I legit fell in love with Adele and her voice for a bit,tbt music video dropped legit fell love adele voice bit,NEGATIVE,0.9952988028526306,0,3
I love you Adel,love adel,POSITIVE,0.9998278617858888,0,0
Consecrated Winderson Nunes forever☺☺,consecrated winderson nunes [UNK],NEGATIVE,0.7549561262130737,0,3
Hello,hello,POSITIVE,0.9995185136795044,0,0
Who’s here on April 18th 2024??,’ april th,POSITIVE,0.984084963798523,0,0
"I will be married on April 18, 2024 ❤❤",married april [UNK],POSITIVE,0.9852516651153564,0,0
Sarah for kitchen,sarah kitchen,POSITIVE,0.9054316878318788,0,3
jungka on his left side for motor & macho dancer,jungka left side motor macho dancer,NEGATIVE,0.9787073135375975,0,3
the virgin,virgin,NEGATIVE,0.7838611602783203,0,0
love,love,POSITIVE,0.9998735189437866,0,0
"What  !!         Billion viewers


Can't believe that 😂",billion viewer cant believe [UNK],POSITIVE,0.8285132646560669,0,0
Attendance April 2024,attendance april,POSITIVE,0.9973813891410828,0,0
9433 am still here waiting for you.am still stuck in the old town never managed to get out.if you ever come visiting don't forget about me,still waiting youam still stuck old town never managed get outif ever come visiting dont forget,NEGATIVE,0.9952707886695862,0,1
Who’s here in April 2024????,’ april,POSITIVE,0.9943214654922484,0,0
"I listen to and love many different genres and time periods. Don't completely shun or disregard music just because it's popular or mainstream. I remember the first time I heard rolling in the deep and loved it instantly. Her voice is incredible. Usually I don't listen to much mainstream pop but am no longer embarrassed to admit I like a song. This and her breakout hit are my favorite. Amazing, powerful voice. Emotions that are brought up are relatable. One of my favorite things about her is that there is no denying her talent even though she doesn't look like Beyonce. They had no choice but to let her be her.",listen love many different genre time period dont completely shun disregard music popular mainstream remember first time heard rolling deep loved instantly voice incredible usually dont listen much mainstream pop longer embarrassed admit like song breakout hit favorite amazing powerful voice emotion brought relatable one favorite thing denying talent even though doesnt look like beyonce choice let,POSITIVE,0.8230495452880859,0,1
More Adele,adele,POSITIVE,0.9950966238975524,0,0
Adele is a true mud shark,adele true mud shark,NEGATIVE,0.9640601873397828,0,3
"Who is also here in 2024? 
Also who just remembered this song and wanted to hear it again 😢",also also remembered song wanted hear [UNK],POSITIVE,0.9978426694869996,0,0
"...of family RIP❤....
DNH do get hold of me!.... Answer your question no I am not okay 😭",family [UNK] dnh get hold answer question okay [UNK],POSITIVE,0.6200941801071167,0,3
Who’s here in 2024 me,’,POSITIVE,0.9309634566307068,0,0
nostalgia is a powerful drug.,nostalgia powerful drug,POSITIVE,0.9982461929321288,0,0
2024 we deh deh,deh deh,POSITIVE,0.9077049493789672,0,3
"Fuuuuu*k 8 years 
Time is going extremely  fast",fuuuuuk year time going extremely fast,POSITIVE,0.9693787097930908,0,3
17 th April?,th april,POSITIVE,0.8883907794952393,0,0
April 2024 ❤❤❤,april [UNK],POSITIVE,0.9454053044319152,0,0
"The choices are NOT always easy, I have to make decisions and sometimes it even hurts, it allows me to move forward with good thinking",choice always easy make decision sometimes even hurt allows move forward good thinking,POSITIVE,0.992973566055298,0,3
